ID,NAME,CITY,STATE,TYPE,LATITUDE,LONGITUDE,BEDS,POPULATION
76777520,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,BAYTOWN,TX,GENERAL ACUTE CARE,29.74762022,-94.94547682,182.0,182.0
129043230,"WOODS AT PARKSIDE,THE",COLUMBUS,OH,SPECIAL,40.0271427,-82.88184334,50.0,50.0
130045404,DAYTON CHILDREN'S HOSPITAL,DAYTON,OH,CHILDREN,39.77424249,-84.16802733,155.0,155.0
128844512,VIBRA HOSPITAL OF MAHONING VALLEY,BOARDMAN,OH,LONG TERM CARE,41.0051693,-80.63297231,45.0,45.0
129845417,HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,DAYTON,OH,PSYCHIATRIC,39.74773987,-84.19939762,32.0,32.0
130774801,CHG CORNERSTONE HOSPITAL OF OKLAHOMA,SHAWNEE,OK,LONG TERM CARE,35.29726161,-96.92709569,34.0,34.0
131074538,MARY HURLEY HOSPITAL,COALGATE,OK,GENERAL ACUTE CARE,34.53934684,-96.2237315,20.0,20.0
5258701,TRINITY HOSPITALS,MINOT,ND,GENERAL ACUTE CARE,48.23222596,-101.2940853,251.0,251.0
10527016,LIFEBRITE COMMUNITY HOSPITAL OF STOKES,DANBURY,NC,GENERAL ACUTE CARE,36.418068,-80.23107621,93.0,93.0
77677090,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,HOUSTON,TX,GENERAL ACUTE CARE,30.0142879,-95.44068702,16.0,16.0
78178503,MCCALLEN MEDICAL CENTER,MCALLEN,TX,GENERAL ACUTE CARE,26.18699237,-98.22573011,441.0,441.0
165358103,PRAIRIE SAINT JOHN'S,FARGO,ND,PSYCHIATRIC,46.86919521,-96.78500526,110.0,110.0
78676458,FAITH COMMUNITY HOSPITAL,JACKSBORO,TX,GENERAL ACUTE CARE,33.23066769,-98.16693865,17.0,17.0
78979410,COVENANT MEDICAL CENTER - LAKESIDE,LUBBOCK,TX,GENERAL ACUTE CARE,33.57339136,-101.9019483,196.0,196.0
79277386,WOODLANDS SPECIALTY HOSPITAL PLLC,THE WOODLANDS,TX,GENERAL ACUTE CARE,30.13090069,-95.44302258,6.0,6.0
79478404,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,CORPUS CHRISTI,TX,GENERAL ACUTE CARE,27.77809368,-97.39474791,557.0,557.0
79578410,THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,CORPUS CHRISTI,TX,GENERAL ACUTE CARE,27.85491733,-97.63542317,89.0,89.0
80076932,REAGAN MEMORIAL HOSPITAL,BIG LAKE,TX,GENERAL ACUTE CARE,31.20401254,-101.4610176,7.0,7.0
80175087,BAYLOR EMERGENCY MEDICAL CENTER,ROCKWALL,TX,GENERAL ACUTE CARE,32.9140952,-96.44469769,8.0,8.0
80376248,BAYLOR EMERGENCY MEDICAL CENTER,KELLER,TX,GENERAL ACUTE CARE,32.92816374,-97.2547307,8.0,8.0
80476028,BAYLOR EMERGENCY MEDICAL CENTER,BURLESON,TX,GENERAL ACUTE CARE,32.57542408,-97.32118572,8.0,8.0
80576063,BAYLOR EMERGENCY MEDICAL CENTER,MANSFIELD,TX,GENERAL ACUTE CARE,32.59672241,-97.14487705,8.0,8.0
165558701,TRINITY HOSPITAL - SAINT JOSEPHS,MINOT,ND,GENERAL ACUTE CARE,48.23216459,-101.2872043,251.0,251.0
